species,Name,Estimate,s.e.,95%Lower,95%Upper
Lasioglossum (Homalictus) achrostus,Lasioglossum (Homalictus) achrostus,NA,NA,NA,NA
Lasioglossum (Homalictus) achrostus,Homogeneous Model,1,0.284,1,1.799
Lasioglossum (Homalictus) achrostus,Homogeneous (MLE),1.255,0.734,1.014,5.757
Lasioglossum (Homalictus) achrostus,"Chao1 (Chao, 1984)",1,0.284,1,1.799
Lasioglossum (Homalictus) achrostus,Chao1-bc,1,0.284,1,1.799
Lasioglossum (Homalictus) achrostus,iChao1 (Chiu et al. 2014),1,0.284,1,1.799
Lasioglossum (Homalictus) achrostus,"ACE (Chao & Lee, 1992)",1,0.284,1,1.799
Lasioglossum (Homalictus) achrostus,"ACE-1 (Chao & Lee, 1992)",1,0.284,1,1.799
Lasioglossum (Homalictus) achrostus,1st order jackknife,1,0.284,1,1.799
Lasioglossum (Homalictus) achrostus,2nd order jackknife,1,0.284,1,1.799
Lasioglossum (Homalictus) atritergus,Lasioglossum (Homalictus) atritergus,NA,NA,NA,NA
Lasioglossum (Homalictus) atritergus,Homogeneous Model,4.375,0.798,4.029,8.867
Lasioglossum (Homalictus) atritergus,Homogeneous (MLE),4.106,0.348,4.005,6.3
Lasioglossum (Homalictus) atritergus,"Chao1 (Chao, 1984)",4,0.517,4,5.613
Lasioglossum (Homalictus) atritergus,Chao1-bc,4,0.517,4,5.613
Lasioglossum (Homalictus) atritergus,iChao1 (Chiu et al. 2014),4.25,0.517,4.02,7.134
Lasioglossum (Homalictus) atritergus,"ACE (Chao & Lee, 1992)",4.621,1.387,4.045,12.546
Lasioglossum (Homalictus) atritergus,"ACE-1 (Chao & Lee, 1992)",4.721,1.734,4.048,14.854
Lasioglossum (Homalictus) atritergus,1st order jackknife,4.933,1.343,4.117,11.443
Lasioglossum (Homalictus) atritergus,2nd order jackknife,5.8,2.245,4.27,16.017
Lasioglossum (Homalictus) concavus,Lasioglossum (Homalictus) concavus,NA,NA,NA,NA
Lasioglossum (Homalictus) concavus,Homogeneous Model,9,5.416,5.541,34.561
Lasioglossum (Homalictus) concavus,Homogeneous (MLE),5.406,0.745,5.037,9.387
Lasioglossum (Homalictus) concavus,"Chao1 (Chao, 1984)",7.786,4.088,5.341,27.758
Lasioglossum (Homalictus) concavus,Chao1-bc,7.786,4.088,5.341,27.758
Lasioglossum (Homalictus) concavus,iChao1 (Chiu et al. 2014),8.536,4.088,5.581,26.511
Lasioglossum (Homalictus) concavus,"ACE (Chao & Lee, 1992)",12.6,11.736,5.873,71.178
Lasioglossum (Homalictus) concavus,"ACE-1 (Chao & Lee, 1992)",16.92,22.044,6.093,135.001
Lasioglossum (Homalictus) concavus,1st order jackknife,7.786,2.318,5.672,16.543
Lasioglossum (Homalictus) concavus,2nd order jackknife,10.357,3.863,6.507,24.043
Lasioglossum (Homalictus) fijiense,Lasioglossum (Homalictus) fijiense,NA,NA,NA,NA
Lasioglossum (Homalictus) fijiense,Homogeneous Model,117.944,13.622,98.697,154.266
Lasioglossum (Homalictus) fijiense,Homogeneous (MLE),77.051,0.227,77.002,78.547
Lasioglossum (Homalictus) fijiense,"Chao1 (Chao, 1984)",184.365,49.357,122.515,330.262
Lasioglossum (Homalictus) fijiense,Chao1-bc,171.432,41.553,118.401,292.391
Lasioglossum (Homalictus) fijiense,iChao1 (Chiu et al. 2014),192.75,41.695,135.373,306.527
Lasioglossum (Homalictus) fijiense,"ACE (Chao & Lee, 1992)",150.307,27.096,113.352,224.828
Lasioglossum (Homalictus) fijiense,"ACE-1 (Chao & Lee, 1992)",181.262,45.581,122.935,313.649
Lasioglossum (Homalictus) fijiense,1st order jackknife,120.922,9.368,106.05,143.409
Lasioglossum (Homalictus) fijiense,2nd order jackknife,155.814,16.211,129.885,194.454
Lasioglossum (Homalictus) hadrander,Lasioglossum (Homalictus) hadrander,NA,NA,NA,NA
Lasioglossum (Homalictus) hadrander,Homogeneous Model,15.882,3.324,12.908,28.608
Lasioglossum (Homalictus) hadrander,Homogeneous (MLE),12.564,0.831,12.069,16.633
Lasioglossum (Homalictus) hadrander,"Chao1 (Chao, 1984)",29.538,23.026,14.466,136.749
Lasioglossum (Homalictus) hadrander,Chao1-bc,19.308,7.983,13.286,53.513
Lasioglossum (Homalictus) hadrander,iChao1 (Chiu et al. 2014),32.038,19.797,15.975,113.004
Lasioglossum (Homalictus) hadrander,"ACE (Chao & Lee, 1992)",18.747,6.449,13.391,44.723
Lasioglossum (Homalictus) hadrander,"ACE-1 (Chao & Lee, 1992)",20.862,9.762,13.544,62.85
Lasioglossum (Homalictus) hadrander,1st order jackknife,17.846,3.397,14.031,28.827
Lasioglossum (Homalictus) hadrander,2nd order jackknife,22.615,5.801,15.897,40.913
Lasioglossum (Homalictus) kaicolo,Lasioglossum (Homalictus) kaicolo,NA,NA,NA,NA
Lasioglossum (Homalictus) kaicolo,Homogeneous Model,11.667,8.433,5.981,50.286
Lasioglossum (Homalictus) kaicolo,Homogeneous (MLE),9.785,5.448,5.801,33.577
Lasioglossum (Homalictus) kaicolo,"Chao1 (Chao, 1984)",10.143,6.042,5.829,36.907
Lasioglossum (Homalictus) kaicolo,Chao1-bc,10.143,6.042,5.829,36.907
Lasioglossum (Homalictus) kaicolo,iChao1 (Chiu et al. 2014),11.143,6.042,6.225,35.804
Lasioglossum (Homalictus) kaicolo,"ACE (Chao & Lee, 1992)",17.889,18.398,6.633,106.729
Lasioglossum (Homalictus) kaicolo,"ACE-1 (Chao & Lee, 1992)",26.185,35.926,7.164,212.387
Lasioglossum (Homalictus) kaicolo,1st order jackknife,8.429,2.523,5.944,17.449
Lasioglossum (Homalictus) kaicolo,2nd order jackknife,11.286,4.02,6.995,24.808
Lasioglossum (Homalictus) nadarivatu,Lasioglossum (Homalictus) nadarivatu,NA,NA,NA,NA
Lasioglossum (Homalictus) nadarivatu,Homogeneous Model,Inf,NA,NA,NA
Lasioglossum (Homalictus) nadarivatu,Homogeneous (MLE),2.024,0.159,2.001,3.098
Lasioglossum (Homalictus) nadarivatu,"Chao1 (Chao, 1984)",2,0.466,2,3.572
Lasioglossum (Homalictus) nadarivatu,Chao1-bc,2,0.466,2,3.572
Lasioglossum (Homalictus) nadarivatu,iChao1 (Chiu et al. 2014),2,0.466,2,3.572
Lasioglossum (Homalictus) nadarivatu,"ACE (Chao & Lee, 1992)",2,0.466,2,3.572
Lasioglossum (Homalictus) nadarivatu,"ACE-1 (Chao & Lee, 1992)",2,0.466,2,3.572
Lasioglossum (Homalictus) nadarivatu,1st order jackknife,2.889,1.296,2.11,9.202
Lasioglossum (Homalictus) nadarivatu,2nd order jackknife,3.667,2.108,2.245,13.321
Lasioglossum (Homalictus) ostridorsum,Lasioglossum (Homalictus) ostridorsum,NA,NA,NA,NA
Lasioglossum (Homalictus) ostridorsum,Homogeneous Model,25.6,11.639,15.702,71.746
Lasioglossum (Homalictus) ostridorsum,Homogeneous (MLE),13.311,0.592,13.028,16.513
Lasioglossum (Homalictus) ostridorsum,"Chao1 (Chao, 1984)",37.01,30.494,16.517,176.918
Lasioglossum (Homalictus) ostridorsum,Chao1-bc,23.29,10.381,14.992,66.163
Lasioglossum (Homalictus) ostridorsum,iChao1 (Chiu et al. 2014),38.635,30.494,17.07,174.477
Lasioglossum (Homalictus) ostridorsum,"ACE (Chao & Lee, 1992)",30.793,18.498,16.323,108.258
Lasioglossum (Homalictus) ostridorsum,"ACE-1 (Chao & Lee, 1992)",36.08,27.794,16.609,160.587
Lasioglossum (Homalictus) ostridorsum,1st order jackknife,19.86,3.685,15.557,31.406
Lasioglossum (Homalictus) ostridorsum,2nd order jackknife,25.64,6.314,18.011,44.879
Lasioglossum (Homalictus) sp. G,Lasioglossum (Homalictus) sp. G,NA,NA,NA,NA
Lasioglossum (Homalictus) sp. G,Homogeneous Model,3,1.871,2.09,13.064
Lasioglossum (Homalictus) sp. G,Homogeneous (MLE),3.432,2.562,2.137,16.988
Lasioglossum (Homalictus) sp. G,"Chao1 (Chao, 1984)",2.333,0.943,2.018,8.09
