"","Lasioglossum (Homalictus) ostridorsum","Lasioglossum (Homalictus) atritergus","Lasioglossum (Homalictus) fijiense","Lasioglossum (Homalictus) hadrander","Lasioglossum (Homalictus) tuiwawae","Lasioglossum (Homalictus) concavus","Lasioglossum (Homalictus) kaicolo","Lasioglossum (Homalictus) nadarivatu","Lasioglossum (Homalictus) sp. S","Lasioglossum (Homalictus) terminalis","Lasioglossum (Homalictus) sp. G","Lasioglossum (Homalictus) sp. T","Lasioglossum (Homalictus) sp. U","Lasioglossum (Homalictus) sp. X","Lasioglossum (Homalictus) sp. V","Lasioglossum (Homalictus) sp. O","Lasioglossum (Homalictus) groomi","Lasioglossum (Homalictus) taveuni"
"Lasioglossum (Homalictus) ostridorsum",0,0.04,0.105,0.065,0.053,0.131,0.105,0.105,0.065,0.07,0.049,0.057,0.06,0.041,0.039,0.31,0.11,0.305
"Lasioglossum (Homalictus) atritergus",0.04,0,0.22,0.169,0.142,0.255,0.134,0.222,0.141,0.169,0.125,0.089,0.107,0.104,0.09,0.49,0.23,0.486
"Lasioglossum (Homalictus) fijiense",0.105,0.22,0,0.016,0.072,0.005,0.214,0.004,0.049,0.043,0.077,0.16,0.159,0.105,0.101,0.08,0.03,0.067
"Lasioglossum (Homalictus) hadrander",0.065,0.169,0.016,0,0.056,0.027,0.168,0.029,0.034,0.026,0.035,0.121,0.124,0.077,0.061,0.115,0.04,0.116
"Lasioglossum (Homalictus) tuiwawae",0.053,0.142,0.072,0.056,0,0.104,0.111,0.052,0.058,0.04,0.015,0.054,0.047,0.024,0.016,0.274,0.052,0.268
"Lasioglossum (Homalictus) concavus",0.131,0.255,0.005,0.027,0.104,0,0.248,0.005,0.063,0.063,0.119,0.188,0.193,0.132,0.134,0.073,0.052,0.072
"Lasioglossum (Homalictus) kaicolo",0.105,0.134,0.214,0.168,0.111,0.248,0,0.207,0.107,0.165,0.05,0.011,0.027,0.07,0.02,0.456,0.212,0.443
"Lasioglossum (Homalictus) nadarivatu",0.105,0.222,0.004,0.029,0.052,0.005,0.207,0,0.051,0.047,0.079,0.139,0.138,0.086,0.09,0.12,0.039,0.108
"Lasioglossum (Homalictus) sp. S",0.065,0.141,0.049,0.034,0.058,0.063,0.107,0.051,0,0.046,0.036,0.077,0.083,0.059,0.04,0.175,0.07,0.169
"Lasioglossum (Homalictus) terminalis",0.07,0.169,0.043,0.026,0.04,0.063,0.165,0.047,0.046,0,0.002,0.114,0.109,0.065,0.052,0.209,0.05,0.2
"Lasioglossum (Homalictus) sp. G",0.049,0.125,0.077,0.035,0.015,0.119,0.05,0.079,0.036,0.002,0,0.041,0.041,0.032,-0.018,0.278,0.071,0.268
"Lasioglossum (Homalictus) sp. T",0.057,0.089,0.16,0.121,0.054,0.188,0.011,0.139,0.077,0.114,0.041,0,-0.007,0.008,-0.012,0.405,0.165,0.402
"Lasioglossum (Homalictus) sp. U",0.06,0.107,0.159,0.124,0.047,0.193,0.027,0.138,0.083,0.109,0.041,-0.007,0,0.016,-0.005,0.397,0.156,0.391
"Lasioglossum (Homalictus) sp. X",0.041,0.104,0.105,0.077,0.024,0.132,0.07,0.086,0.059,0.065,0.032,0.008,0.016,0,-0.003,0.329,0.109,0.325
"Lasioglossum (Homalictus) sp. V",0.039,0.09,0.101,0.061,0.016,0.134,0.02,0.09,0.04,0.052,-0.018,-0.012,-0.005,-0.003,0,0.313,0.101,0.306
"Lasioglossum (Homalictus) sp. O",0.31,0.49,0.08,0.115,0.274,0.073,0.456,0.12,0.175,0.209,0.278,0.405,0.397,0.329,0.313,0,0.176,0.386
"Lasioglossum (Homalictus) groomi",0.11,0.23,0.03,0.04,0.052,0.052,0.212,0.039,0.07,0.05,0.071,0.165,0.156,0.109,0.101,0.176,0,0.163
"Lasioglossum (Homalictus) taveuni",0.305,0.486,0.067,0.116,0.268,0.072,0.443,0.108,0.169,0.2,0.268,0.402,0.391,0.325,0.306,0.386,0.163,0
